Sno,Candidate Ref,DOJ Extended,Duration to accept offer,Notice period,Offered band,Pecent hike expected in CTC,Percent hike offered in CTC,Percent difference CTC,Joining Bonus,Candidate relocate actual,Gender,Candidate Source,Rex in Yrs,Location,Age,LOB_id,
1,2110407,Yes,14,30,E2,-20.79,13.16,42.86,No,No,Female,Agency,7,Noida,34,1,
2,2112635,No,18,30,E2,50,320,180,No,No,Male,Employee Referral,8,Chennai,34,2,
3,2112838,No,3,45,E2,42.84,42.84,0,No,No,Male,Agency,4,Noida,27,2,
4,2115021,No,26,30,E2,42.84,42.84,0,No,No,Male,Employee Referral,4,Noida,34,2,
5,2115125,Yes,1,120,E2,42.59,42.59,0,No,Yes,Male,Employee Referral,6,Noida,34,2,`
6,2117167,Yes,17,30,E1,42.83,42.83,0,No,No,Male,Employee Referral,2,Noida,34,2,
7,2119124,Yes,37,30,E2,31.58,31.58,0,No,No,Male,Employee Referral,7,Noida,32,2,
9,2127572,Yes,16,0,E1,-20,-20,0,No,No,Female,Direct,8,Noida,34,3,
11,2138169,No,1,30,E1,-22.22,-22.22,0,No,No,Female,Employee Referral,3,Gurgaon,26,4,
12,2143362,No,6,30,E1,240,220,-5.88,No,No,Male,Employee Referral,3,Chennai,34,5,
13,2151180,No,120,30,E2,5.26,-60.53,-62.5,No,No,Male,Employee Referral,3,Noida,34,2,
14,2154264,No,3,0,E2,28.21,37.18,7,No,No,Male,Employee Referral,7,Chennai,34,2,
15,2156236,Yes,14,30,E2,50,287.5,158.33,No,No,Male,Agency,7,Noida,29,2,
16,2158703,No,44,75,E2,45.45,60,10,No,No,Male,Direct,8,Noida,34,2,
17,2161257,No,7,30,E3,53.85,50,-2.5,No,No,Male,Employee Referral,5,Noida,34,2,
18,2162487,No,1,30,E3,-27.31,-27.31,0,No,No,Male,Direct,18,Bangalore,34,6,
19,2166041,Yes,98,30,E2,50,165.36,76.91,No,No,Male,Agency,8,Noida,36,2,
20,2172982,No,1,0,E2,30,30,0,No,No,Male,Direct,6,Noida,34,2,
21,2173730,No,1,30,E1,-13.42,42.86,65,No,No,Male,Direct,1,Gurgaon,34,2,
22,2175237,No,7,30,E1,221.43,164.29,-17.78,No,No,Male,Direct,2,Noida,34,1,
23,2175323,No,1,0,E3,42.78,42.78,0,No,Yes,Male,Employee Referral,8,Chennai,29,2,
24,2184108,No,0,30,E1,37.5,37.5,0,No,No,Female,Employee Referral,3,Chennai,30,1,
25,2188014,No,1,0,E2,42.86,42.86,0,No,No,Male,Direct,5,Noida,30,2,
26,2191237,Yes,83,60,E2,25,25,0,No,No,Male,Direct,5,Noida,30,7,
27,2194323,No,1,0,E3,114.82,42.86,-33.5,No,No,Male,Direct,6,Noida,31,2,
28,2205244,No,16,60,E1,41.18,0,-29.17,No,No,Male,Direct,7,Noida,31,7,
29,2205496,Yes,32,120,E3,50.97,57,4,No,No,Male,Direct,13,Chennai,40,1,
30,2207823,Yes,19,30,,42.85,42.85,0,No,No,Male,Direct,7,Noida,28,2,
