,Sno,Candidate Ref,DOJ Extended,Duration to accept offer,Notice period,Offered band,Pecent hike expected in CTC,Percent hike offered in CTC,Percent difference CTC,Joining Bonus,Candidate relocate actual,Gender,Candidate Source,Rex in Yrs,Location,Age,LOB_id,Status,LOB
0,1,2110407,Yes,14,30,E2,-20.79,13.16,42.86,No,No,Female,Agency,7,Noida,34.0,1,Joined,ERS
1,2,2112635,No,18,30,E2,50.0,320.0,180.0,No,No,Male,Employee Referral,8,Chennai,34.0,2,Joined,INFRA
2,3,2112838,No,3,45,E2,42.84,42.84,0.0,No,No,Male,Agency,4,Noida,27.0,2,Joined,INFRA
3,4,2115021,No,26,30,E2,42.84,42.84,0.0,No,No,Male,Employee Referral,4,Noida,34.0,2,Joined,INFRA
4,5,2115125,Yes,1,120,E2,42.59,42.59,0.0,No,Yes,Male,Employee Referral,6,Noida,34.0,2,Joined,INFRA
5,6,2117167,Yes,17,30,E1,42.83,42.83,0.0,No,No,Male,Employee Referral,2,Noida,34.0,2,Joined,INFRA
6,7,2119124,Yes,37,30,E2,31.58,31.58,0.0,No,No,Male,Employee Referral,7,Noida,32.0,2,Joined,INFRA
7,9,2127572,Yes,16,0,E1,-20.0,-20.0,0.0,No,No,Female,Direct,8,Noida,34.0,3,Joined,Healthcare
8,11,2138169,No,1,30,E1,-22.22,-22.22,0.0,No,No,Female,Employee Referral,3,Gurgaon,26.0,4,Joined,BFSI
9,12,2143362,No,6,30,E1,240.0,220.0,-5.88,No,No,Male,Employee Referral,3,Chennai,34.0,5,Joined,CSMP
10,13,2151180,No,120,30,E2,5.26,-60.53,-62.5,No,No,Male,Employee Referral,3,Noida,34.0,2,Not Joined,INFRA
11,14,2154264,No,3,0,E2,28.21,37.18,7.0,No,No,Male,Employee Referral,7,Chennai,34.0,2,Joined,INFRA
12,15,2156236,Yes,14,30,E2,50.0,287.5,158.33,No,No,Male,Agency,7,Noida,29.0,2,Not Joined,INFRA
13,16,2158703,No,44,75,E2,45.45,60.0,10.0,No,No,Male,Direct,8,Noida,34.0,2,Not Joined,INFRA
14,17,2161257,No,7,30,E3,53.85,50.0,-2.5,No,No,Male,Employee Referral,5,Noida,34.0,2,Not Joined,INFRA
